,Tweet
0,"@Harmindarboxoff #Agnipath
Sanjay Dutt totally overshawdowed Hrithik."
1,"Shri @bhagwantkhuba, Union Minister of State of Chemicals &amp; Fertilizers, New and Renewable Energy witnessed the ongoing #Agniveer recruitment rally at #Bidar, today and exalted the spirit of the youth toserve the nation.

 @dcpc2017
@mnreindia @IaSouthern @adgpi @SpokespersonMoD https://t.co/cniloqSQGT"
2,"@Rahul_ForPM @SupriyaShrinate @LambaAlka @srinivasiyc @NayakRagini @INCIndia @Rajasthan_PYC We youth are against #BJP4IND for their #AgnipathScheme and cancelling of our pending recruitments for the year of 2020-21
#JusticeForDefenceStudents
#JusticeForDefenceStudents https://t.co/c1A807edLN"
3,"This issue brief by @Gauravbhattarai and @SarojAryal00 discusses the impacts of the #Agnipath scheme on #military labour migration from #Nepal to #India, and on the larger bilateral relationship between the two countries https://t.co/yupATyjVxL"
4,"“Birds of War”
Troops of #IndianArmy and 
@AustralianArmy
exchanged their expertise in the employment of cutting edge #drone technology including #nanodrones in combat.
#AustraHind 2022
#IndiaAustraliaFriendship 
#IndianArmyPeoplesArmy 
#Exercise
#AgnipathScheme 
#Agniveer https://t.co/oqPcBz5nge"
5,"#Chinarwarriors along with #Citizens &amp; #Civil dignitaries paid solemn homage at #Uri War Memorial to 1st #CDS Gen Bipin Rawat.
#Kashmir 
@adgpi
@NorthernComd_IA
#IndianArmyPeoplesArmy 
#Agnipath 
#Hamreveer
#Veergati https://t.co/rrw1ELBsMb"
6,"#Chinarwarriors along with #Citizens &amp; #Civil dignitaries paid solemn homage at #Uri War Memorial to 1st #CDS Gen Bipin Rawat.
#Kashmir 
@adgpi
@NorthernComd_IA
 #IndianArmyPeoplesArmy 
#Agnipath 
#Hamreveer
#Veergati https://t.co/8knZDjQq4y"
7,"#Chinarwarriors along with #Citizens &amp; #Civil dignitaries paid solemn homage at #Uri War Memorial to 1st #CDS Gen Bipin Rawat.
#Kashmir 
@adgpi

@NorthernComd_IA
 
#IndianArmyPeoplesArmy 
#Agnipath 
#Hamreveer
#Veergati https://t.co/ZnoSRTyC99"
8,"Sahitya Bhawan | Pratiyogita Sahitya Indian Army Agniveer General Duty book in Hindi includes model paper for forthcoming examination.
To Buy Now on Discount click on the link below.
https://t.co/xxc7YjDHkB
#SahityaBhawan #Indian #Navy #Agniveer #General #Duty #eBook https://t.co/Ho37WuuR0x"
9,@amitmalviya Lesson for BJP : Never betray Ex Servicemen of the country. #OROP #Agniveer
10,@omnimutant But BJP was clever as they announced #Agnipath after Uttarakhand Elections. ESM factor is going to play also in Hry &amp; Raj.(OROP &amp; Agnipath)
11,@mhmd_rahl @ianuragthakur Try contemplating Why ?!? Not difficult... Himachal Pradesh is Land of Soldiers and Soldiering. Rethink about #OROP for Soldiers Never go back on their Words..GOI did. Is #AgnipathScheme &amp; #SPARSH fair to Soldiers &amp; Veterans. They being insulted by Govt. How long. https://t.co/LsWxWCyMDs
12,"@Jitendr27696493 @DrJitendraSingh @narendramodi #Agniveer agony has not been alleviated  and is fueling fire among youth. 

Ignoring Age and Attempt Compensation post COVID is another blunder this govt Commiting. 

Himachal Result is just a trailer. 

#UPSCExtraAttempt2023 

@TrulyMonica @SushilModi @DoPTGoI @narendramodi"
13,"@NidhiTanejaa Full Support 
#AgnipathScheme 
#Bandkaro
#Deshbachao"
14,"Wellness Warriors Job Meet 2022
The Bengal Chamber in association with Directorate General Resettlement (DGR) presents “Wellness Warriors Job Meet 2022”, 1st time ever in Eastern India,
#agnipath #agniveer #agniveer_airforce #page3khabar #army #Bncci
https://t.co/Un1WFy5YCb"
15,"@Rahul_ForPM @SupriyaShrinate @LambaAlka @srinivasiyc @NayakRagini @INCIndia @Rajasthan_PYC Himachal Pradesh is land of Soldiers and Soldiering . The Govt had hit at The future Soldiers and Veterans through #AgnipathScheme , #OROP and #SPARSH . @satbirsm https://t.co/GEWtPGRXBB"
16,"#Agniveer 

Agniveer Female Recruitment 2022: 20 Percent Of Seats Are Reserved For Female Candidates https://t.co/2OKbnmxrmX"
17,"#JusticeForDefenceStudents
We want justice
@rahulgandhi
Hmne Himachal me BJP ko agniveer bna diya 
#agnipath https://t.co/JPYZESzhDJ https://t.co/uNRSabGQus"
18,Motivational speech for youth to join Indian armed forces. #IndianArmyPeoplesArmy #AmritMahotsav #NccDay #KVD2022 #AgniPath #AgniVeer #AgniPathScame #IndianArmyFauj #realme10ProSeries5G #PartyWithChillaChilla https://t.co/X2JgGvadai
19,"Motivational Talk on ""Join Indian Armed Forces""
in  #Rajouri #IndianArmyPeoplesArmy #AmritMahotsav #Nccday #WeCare #ShiningJK #Agniveer #AgniPath #AwamAurJawan #realme10ProSeries5G https://t.co/XJOVsrIJ3i"
20,"Indian Army organizes lecture on women empowerment
Dara Dulian, in #Poonch #womenempowerment #IndianArmyPeoplesArmy #AmritMahotsav #Wecare #Agniveer #AgniPath #realme10ProSeries5G #NccDay #AwamkiFauj https://t.co/9LhO6CM2Qc"
21,"The #Agnipath scheme has caused some uncertainty about the future of the Indian Army’s Gorkha regiments, which are made up of soldiers from Nepal’s Gorkha community. @Gauravbhattarai &amp; @SarojAryal00 https://t.co/yupATy2k9b"
22,"In A First, 341 Women Are Inducted Into  @indiannavy Under #Agniveer &gt;&gt; Jai Shree Ram! News in Femina 

https://t.co/vSCeuwXd3N"
